,0
0,"[0, 0]"
1,"[0, 0]"
2,"[37.0047877, 128.8132668]"
3,"[0, 0]"
4,"[0, 0]"
5,"[0, 0]"
6,"[0, 0]"
7,"[0, 0]"
8,"[0, 0]"
9,"[36.7861194, 128.9206517]"
10,"[0, 0]"
11,"[0, 0]"
12,"[36.90492, 128.7419985]"
13,"[36.981434, 128.8004245]"
