,0
0,"[36.9179661, 128.4578264]"
1,"[36.730752949999996, 128.62334528724995]"
2,"[0, 0]"
3,"[0, 0]"
4,"[36.9198359, 128.4571206]"
5,"[36.927054, 128.579676]"
6,"[0, 0]"
7,"[0, 0]"
8,"[36.944543, 128.525867]"
9,"[0, 0]"
10,"[36.93887, 128.498949]"
11,"[36.92577180000001, 128.58207977272318]"
12,"[0, 0]"
13,"[36.873074, 128.524046]"
