,0
0,"[35.6261008, 126.4665009]"
1,"[35.6265882, 126.5698042]"
2,"[35.6803181, 126.5311291]"
3,"[0, 0]"
4,"[0, 0]"
5,"[0, 0]"
6,"[0, 0]"
7,"[35.710173, 126.59724306046144]"
8,"[0, 0]"
9,"[35.7200403, 126.72872937297919]"
10,"[0, 0]"
11,"[35.6382875, 126.4642327]"
12,"[0, 0]"
13,"[35.62205685, 126.48378475397433]"
