,0
0,"[35.8155004, 127.1545006]"
1,"[35.8484778, 127.12311234193488]"
2,"[35.815656450000006, 127.14979610485594]"
3,"[35.8145605, 127.1577906]"
4,"[0, 0]"
5,"[35.8563948, 127.1439113]"
6,"[35.8692727, 127.0705858]"
7,"[35.812581800000004, 127.15715414339671]"
8,"[0, 0]"
9,"[0, 0]"
10,"[35.81332635, 127.14945812745927]"
11,"[0, 0]"
12,"[0, 0]"
13,"[35.8185194, 127.1453005]"
