,0
0,"[37.791575, 127.52515091668056]"
1,"[37.893962099999996, 127.72344261635028]"
2,"[0, 0]"
3,"[37.99265035, 128.05334188423694]"
4,"[0, 0]"
5,"[0, 0]"
6,"[0, 0]"
7,"[0, 0]"
8,"[37.98608915, 127.8086041]"
9,"[37.87717, 127.73071]"
10,"[0, 0]"
11,"[0, 0]"
12,"[0, 0]"
13,"[0, 0]"
