,0
0,"[38.2726591, 127.9939994]"
1,"[38.328426, 128.1270817]"
2,"[38.31951305, 128.11039121758975]"
3,"[0, 0]"
4,"[0, 0]"
5,"[38.0689403, 128.0297855]"
6,"[0, 0]"
7,"[0, 0]"
8,"[38.0963521, 127.981444]"
9,"[0, 0]"
10,"[38.145174, 128.07167]"
11,"[38.1235988, 127.9904467]"
12,"[0, 0]"
13,"[0, 0]"
