,0
0,"[0, 0]"
1,"[37.5537491, 129.1162936]"
2,"[37.2411356, 131.86725226976046]"
3,"[0, 0]"
4,"[0, 0]"
5,"[0, 0]"
6,"[0, 0]"
7,"[37.46203, 129.012942]"
8,"[37.4786042, 129.1573425]"
9,"[37.4781519, 129.1595965]"
10,"[0, 0]"
11,"[0, 0]"
12,"[37.4785492, 129.1568936]"
13,"[37.5154291, 129.1244336]"
