,0
0,"[37.2057245, 128.4330626]"
1,"[0, 0]"
2,"[37.193393, 128.495475]"
3,"[0, 0]"
4,"[37.1305093, 128.5357498]"
5,"[37.1952294, 128.4545672]"
6,"[0, 0]"
7,"[0, 0]"
8,"[0, 0]"
9,"[0, 0]"
10,"[37.1974527, 128.3982234]"
11,"[0, 0]"
12,"[0, 0]"
13,"[38.0844354, 128.4301881]"
