,0
0,"[0, 0]"
1,"[0, 0]"
2,"[35.032735650000006, 126.71678863043871]"
3,"[0, 0]"
4,"[0, 0]"
5,"[35.029469250000005, 126.720373339037]"
6,"[0, 0]"
7,"[0, 0]"
8,"[0, 0]"
9,"[35.01739335, 126.78958256326328]"
10,"[0, 0]"
11,"[35.0342631, 126.7668393]"
12,"[0, 0]"
13,"[0, 0]"
