,0
0,"[34.56613295, 126.30244362409772]"
1,"[0, 0]"
2,"[34.32835215, 126.00504534999999]"
3,"[0, 0]"
4,"[0, 0]"
5,"[34.5732736, 126.3070207]"
6,"[0, 0]"
7,"[34.4867515, 126.2629264]"
8,"[34.3575571, 126.1863404]"
9,"[0, 0]"
10,"[36.99963635, 127.16761777807821]"
11,"[0, 0]"
12,"[0, 0]"
13,"[0, 0]"
