,0
0,"[0, 0]"
1,"[0, 0]"
2,"[34.9618245, 127.6071456]"
3,"[34.9592539, 127.76116915634263]"
4,"[0, 0]"
5,"[0, 0]"
6,"[0, 0]"
7,"[0, 0]"
8,"[34.9727173, 127.7588314]"
9,"[0, 0]"
10,"[0, 0]"
11,"[0, 0]"
12,"[35.2395753, 127.3711388]"
13,"[36.7459564, 127.1782303]"
