,0
0,"[0, 0]"
1,"[0, 0]"
2,"[37.7730931, 126.67700974378]"
3,"[0, 0]"
4,"[37.866853, 126.7519891]"
5,"[0, 0]"
6,"[0, 0]"
7,"[0, 0]"
8,"[37.9379927, 126.9460083]"
9,"[37.788774450000005, 126.6991582118668]"
10,"[0, 0]"
11,"[37.234280999999996, 127.19707981788206]"
12,"[0, 0]"
13,"[0, 0]"
