,0
0,"[37.4384885, 127.00614726146199]"
1,"[37.3770907, 127.12412950281319]"
2,"[37.43382335, 127.02024275399924]"
3,"[0, 0]"
4,"[37.4294273, 127.016266]"
5,"[0, 0]"
6,"[0, 0]"
7,"[37.4526738, 127.0287408]"
8,"[0, 0]"
9,"[37.4360116, 126.9938601]"
10,"[0, 0]"
11,"[37.4339353, 127.0113836]"
12,"[0, 0]"
13,"[0, 0]"
