,0
0,"[37.4268147, 126.8655162]"
1,"[37.469365749999994, 126.85773420959086]"
2,"[37.4336934, 126.878416]"
3,"[54.620329350000006, -5.869819381345107]"
4,"[0, 0]"
5,"[37.4653398, 126.8571744]"
6,"[0, 0]"
7,"[0, 0]"
8,"[0, 0]"
9,"[35.229004599999996, 129.00778786286136]"
10,"[0, 0]"
11,"[37.4880074, 126.8710106]"
12,"[0, 0]"
13,"[0, 0]"
