,0
0,"[0, 0]"
1,"[0, 0]"
2,"[37.9484931, 127.0964756]"
3,"[37.942619, 127.065915]"
4,"[0, 0]"
5,"[37.6984482, 127.0936969]"
6,"[0, 0]"
7,"[0, 0]"
8,"[0, 0]"
9,"[0, 0]"
10,"[0, 0]"
11,"[54.620329350000006, -5.869819381345107]"
12,"[37.51660125, 129.11580186167987]"
13,"[0, 0]"
