,0
0,"[38.071030199999996, 127.32098444286146]"
1,"[37.9249407, 127.2443529]"
2,"[37.9667976, 127.13130692984907]"
3,"[0, 0]"
4,"[0, 0]"
5,"[0, 0]"
6,"[0, 0]"
7,"[0, 0]"
8,"[37.7532334, 127.16288662311487]"
9,"[0, 0]"
10,"[0, 0]"
11,"[0, 0]"
12,"[37.775286449999996, 127.19728022990998]"
13,"[37.7726437, 127.20304303860041]"
