,0
0,"[0, 0]"
1,"[37.2594792, 127.12104227415816]"
2,"[0, 0]"
3,"[37.1724946, 127.29741112534226]"
4,"[0, 0]"
5,"[0, 0]"
6,"[37.2938764, 127.2048444]"
7,"[37.2939537, 127.1917462]"
8,"[37.2753108, 127.15025916819354]"
9,"[37.314748449999996, 127.26722580721852]"
10,"[0, 0]"
11,"[0, 0]"
12,"[37.0950874, 127.4065003]"
13,"[0, 0]"
