,0
0,"[37.6575299, 126.76423130306209]"
1,"[37.6402343, 126.976597]"
2,"[37.5964856, 126.82617037484933]"
3,"[37.663918699999996, 126.75568993608198]"
4,"[37.658336, 126.7703962514281]"
5,"[37.66453525, 126.75435480560452]"
6,"[0, 0]"
7,"[37.6632444, 126.8610966]"
8,"[37.6257368, 126.8978057]"
9,"[37.665115150000005, 126.77713616615537]"
10,"[0, 0]"
11,"[0, 0]"
12,"[37.63613275, 126.75573326998386]"
13,"[37.5964856, 126.82617037484933]"
