,0
0,"[0, 0]"
1,"[0, 0]"
2,"[37.2757201, 127.42576799270593]"
3,"[37.2806632, 127.4163008]"
4,"[0, 0]"
5,"[37.2796176, 127.4236803]"
6,"[0, 0]"
7,"[37.2863882, 127.4202148]"
8,"[0, 0]"
9,"[0, 0]"
10,"[37.274819949999994, 127.42717690241398]"
11,"[0, 0]"
12,"[0, 0]"
13,"[0, 0]"
