,0
0,"[37.032398, 127.31075277552836]"
1,"[37.0111431, 127.2283965]"
2,"[36.9918264, 127.1943213]"
3,"[0, 0]"
4,"[0, 0]"
5,"[35.6177452, 129.0393944]"
6,"[0, 0]"
7,"[37.0139374, 127.20313492508014]"
8,"[0, 0]"
9,"[0, 0]"
10,"[37.0363265, 127.16994931608926]"
11,"[0, 0]"
12,"[0, 0]"
13,"[37.6560698, 127.0132485]"
