,0
0,"[37.39214615, 126.77984520792367]"
1,"[0, 0]"
2,"[0, 0]"
3,"[0, 0]"
4,"[0, 0]"
5,"[0, 0]"
6,"[0, 0]"
7,"[0, 0]"
8,"[37.4023794, 126.8042849]"
9,"[37.37160675, 126.72256416552472]"
10,"[0, 0]"
11,"[0, 0]"
12,"[37.4173365, 126.8275732]"
13,"[37.356062699999995, 126.7122380530968]"
