,0
0,"[37.309552, 126.9444065]"
1,"[37.412204, 126.7312079]"
2,"[37.3187981, 126.9686615]"
3,"[0, 0]"
4,"[37.31088135, 126.95042538161765]"
5,"[0, 0]"
6,"[0, 0]"
7,"[0, 0]"
8,"[0, 0]"
9,"[35.92104465, 139.61809468042682]"
10,"[0, 0]"
11,"[37.34699125, 126.98260772176333]"
12,"[37.378173950000004, 126.98449408442121]"
13,"[37.3264352, 126.9687044]"
