,0
0,"[36.3692223, 127.3884273]"
1,"[36.28456305, 127.3880357449876]"
2,"[0, 0]"
3,"[0, 0]"
4,"[36.28930835, 127.39806638023092]"
5,"[0, 0]"
6,"[0, 0]"
7,"[36.375258099999996, 127.37555505937652]"
8,"[0, 0]"
9,"[36.347957699999995, 127.45848378743015]"
10,"[36.3667176, 127.38574255862943]"
11,"[0, 0]"
12,"[36.3192046, 127.42179314644807]"
13,"[37.61106, 126.969778]"
