,0
0,"[33.5160487, 126.5120041]"
1,"[33.4887112, 126.80113913555081]"
2,"[33.48306705, 126.80618965585273]"
3,"[33.38929245, 126.24028630285815]"
4,"[33.528254, 126.7701281]"
5,"[33.5171246, 126.54653199344885]"
6,"[0, 0]"
7,"[33.4553207, 126.7186121]"
8,"[33.380005, 126.53854310249308]"
9,"[33.3146392, 126.27363894227295]"
10,"[37.7039484, 127.1299477]"
11,"[33.43672925, 126.62776797759128]"
12,"[33.5361571, 126.77219760414198]"
13,"[33.5149038, 126.5141851]"
