,0
0,"[35.49235965, 129.44017771027995]"
1,"[0, 0]"
2,"[35.52907105, 129.28907789508884]"
3,"[0, 0]"
4,"[35.5335064, 129.0251846]"
5,"[35.54961935, 129.28366612295738]"
6,"[0, 0]"
7,"[35.495446, 129.43087281771608]"
8,"[35.43485675, 129.27975530360618]"
9,"[35.5056515, 129.3810779]"
10,"[0, 0]"
11,"[35.3592125, 129.3617851]"
12,"[0, 0]"
13,"[0, 0]"
