,0
0,"[36.67101105, 127.20950078209873]"
1,"[36.50216985, 127.27638144781153]"
2,"[36.60029955, 127.30046704988284]"
3,"[0, 0]"
4,"[0, 0]"
5,"[36.6046181, 127.2775269]"
6,"[0, 0]"
7,"[36.4730238, 127.22739665]"
8,"[0, 0]"
9,"[36.6114272, 127.19202071132682]"
10,"[36.49480835, 127.28471657775589]"
11,"[0, 0]"
12,"[0, 0]"
13,"[35.555918, 129.326764]"
