index,name,address,description,latitude,longitude,level
2,평택국제중앙시장,"경기도 평택시 중앙시장로19, 20번길","주한미군을 대상으로 형성된 시장이기 때문에 하비샵과 패션 잡화, 다국적 레스토랑이 많아 여타 전통시장과는 다른 이국적인 정취를 풍긴다.",37.0797242,127.05225757992446,5
9,이충레포츠공원,경기도 평택시 이충동 산19-4,"대한민국 4부 축구리그인 K4리그에 참가하는 평택 시티즌 FC가 소사벌레포츠타운과 함께 홈경기장으로 사용하기도 하는 곳이다.",37.0648646,127.07256524410798,5
10,평택호예술공원,경기도 평택시 현덕면 권관리 313-6,"아산방조제 북쪽 평택호에 접한 예술공원이다. 아산방조제를 기준으로 내륙 쪽 호수를 평택호라고 한다. 평택호수를 배경 삼아 사진 찍기에 좋은 곳으로 꼽힌다.",36.92194605,126.9235000508652,5
13,진위향교,경기도 평택시 진위면 봉남리 167,"진위천이 내려다보이는 무봉산 기슭에 위치하고 있어 주변 경관이 매우 아름답다.",37.0991001,127.0948821515074,5
