,0
0,"[37.74592975, 127.10813619145915]"
1,"[0, 0]"
2,"[0, 0]"
3,"[0, 0]"
4,"[0, 0]"
5,"[36.4880792, 127.74253395238043]"
6,"[0, 0]"
7,"[0, 0]"
8,"[36.6087948, 127.85306614833385]"
9,"[0, 0]"
10,"[36.484579350000004, 127.71543814192924]"
11,"[0, 0]"
12,"[36.5751451, 127.7842419]"
13,"[35.2835036, 129.06786744481724]"
