,0
0,"[0, 0]"
1,"[36.87089, 127.413858]"
2,"[0, 0]"
3,"[36.8396484, 127.34095935494602]"
4,"[0, 0]"
5,"[0, 0]"
6,"[36.84968485, 127.3660558115242]"
7,"[0, 0]"
8,"[36.8351933, 127.5514746]"
9,"[36.869275, 127.4122586]"
10,"[0, 0]"
11,"[36.84988, 127.4416377]"
12,"[0, 0]"
13,"[0, 0]"
