,0
0,"[0, 0]"
1,"[34.7692662, 128.7119207]"
2,"[0, 0]"
3,"[34.9682217, 128.7050767]"
4,"[34.8157514, 128.6236183]"
5,"[35.8946094, 127.9218584]"
6,"[0, 0]"
7,"[34.8359334, 128.7015988290006]"
8,"[0, 0]"
9,"[0, 0]"
10,"[0, 0]"
11,"[0, 0]"
12,"[0, 0]"
13,"[0, 0]"
