,0
0,"[0, 0]"
1,"[0, 0]"
2,"[0, 0]"
3,"[35.54462895, 128.41896071889744]"
4,"[0, 0]"
5,"[35.561212, 128.507838]"
6,"[0, 0]"
7,"[0, 0]"
8,"[0, 0]"
9,"[0, 0]"
10,"[35.54065095, 128.50215498540382]"
11,"[35.542276, 128.519454]"
12,"[35.5407327, 128.5026832]"
13,"[35.545474, 128.505147]"
