,0
0,"[0, 0]"
1,"[0, 0]"
2,"[0, 0]"
3,"[35.579919, 128.28266]"
4,"[35.76677625, 128.1352716403661]"
5,"[0, 0]"
6,"[0, 0]"
7,"[0, 0]"
8,"[0, 0]"
9,"[35.6907409, 128.0952053]"
10,"[0, 0]"
11,"[0, 0]"
12,"[35.8009894, 128.09829497497333]"
13,"[35.53364685, 128.03187443356057]"
