,0
0,"[34.8234838, 128.424874]"
1,"[0, 0]"
2,"[0, 0]"
3,"[34.8345493, 128.4101878]"
4,"[34.7446531, 127.68002837636234]"
5,"[34.845344, 128.417877]"
6,"[0, 0]"
7,"[0, 0]"
8,"[37.6089291, 125.9754156269408]"
9,"[34.6196273, 128.5479852]"
10,"[34.52179005, 125.68570601064852]"
11,"[34.84523455, 128.42457572126435]"
12,"[34.8276024, 128.4048481]"
13,"[34.854254, 128.433205]"
